code_departement;nom_departement;annee_semaine;population_totale;population_plus_65_ans;pct_plus_65_ans;densite_population;couv_vacc_grippe_an_passe;cas_urgences_semaine;cas_sos_medecins_semaine;total_cas_semaine;tendance_evolution_cas
08;Ardennes;2022-S35;270000;56700;0.21;52;0.611;63.211125158;0.0;63.211125158;-0.47756005056398393
08;Ardennes;2022-S36;270000;56700;0.21;52;0.611;65.487884741;0.0;65.487884741;0.03601833660307586
08;Ardennes;2022-S37;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2022-S38;270000;56700;0.21;52;0.611;57.142857143;0.0;57.142857143;0.0
08;Ardennes;2022-S39;270000;56700;0.21;52;0.611;285.22532801;0.0;285.22532801;3.9914432401625213
08;Ardennes;2022-S40;270000;56700;0.21;52;0.611;336.32286996;0.0;336.32286996;0.1791479820761518
08;Ardennes;2022-S41;270000;56700;0.21;52;0.611;55.096418733;0.0;55.096418733;-0.836179981636239
08;Ardennes;2022-S42;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2022-S43;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2022-S44;270000;56700;0.21;52;0.611;174.11491584;0.0;174.11491584;0.0
08;Ardennes;2022-S45;270000;56700;0.21;52;0.611;171.72295363;0.0;171.72295363;-0.01373783629311837
08;Ardennes;2022-S46;270000;56700;0.21;52;0.611;213.90374332;0.0;213.90374332;0.24563279863496942
08;Ardennes;2022-S47;270000;56700;0.21;52;0.611;107.18113612;0.0;107.18113612;-0.4989281886495225
08;Ardennes;2022-S48;270000;56700;0.21;52;0.611;364.96350365;0.0;364.96350365;2.405109489055862
08;Ardennes;2022-S49;270000;56700;0.21;52;0.611;656.45514223;0.0;656.45514223;0.7986870897084012
08;Ardennes;2022-S50;270000;56700;0.21;52;0.611;1779.7552836;0.0;1779.7552836;1.711160548692043
08;Ardennes;2022-S51;270000;56700;0.21;52;0.611;3138.7935262;0.0;3138.7935262;0.7636096125816835
08;Ardennes;2022-S52;270000;56700;0.21;52;0.611;2998.9658738;0.0;2998.9658738;-0.044548216132356905
08;Ardennes;2023-S01;270000;56700;0.21;52;0.611;1334.1067285;0.0;1334.1067285;-0.5551444115602594
08;Ardennes;2023-S02;270000;56700;0.21;52;0.611;630.11972275;0.0;630.11972275;-0.5276841730207944
08;Ardennes;2023-S03;270000;56700;0.21;52;0.611;763.35877863;0.0;763.35877863;0.2114503816806612
08;Ardennes;2023-S04;270000;56700;0.21;52;0.611;1139.088729;0.0;1139.088729;0.4922062349820915
08;Ardennes;2023-S05;270000;56700;0.21;52;0.611;1208.4592145;0.0;1208.4592145;0.06089998411352893
08;Ardennes;2023-S06;270000;56700;0.21;52;0.611;763.80728555;0.0;763.80728555;-0.36794947120658494
08;Ardennes;2023-S07;270000;56700;0.21;52;0.611;1592.1616656;0.0;1592.1616656;1.08450704218345
08;Ardennes;2023-S08;270000;56700;0.21;52;0.611;687.07058089;0.0;687.07058089;-0.5684668236054534
08;Ardennes;2023-S09;270000;56700;0.21;52;0.611;791.23554474;0.0;791.23554474;0.15160737011191702
08;Ardennes;2023-S10;270000;56700;0.21;52;0.611;463.49942063;0.0;463.49942063;-0.41420803993037764
08;Ardennes;2023-S11;270000;56700;0.21;52;0.611;1103.7527594;0.0;1103.7527594;1.3813465783835321
